1: Czechia, daily cases: +11,220, daily deaths: +207, population: 10,722,817, daily cases ratio: 1046.3668269261705, daily deaths ratio: 19.304628625108492
2: Estonia, daily cases: +1,358, daily deaths: +9, population: 1,327,157, daily cases ratio: 1023.239903040861, daily deaths ratio: 6.78141320130173
3: Hungary, daily cases: +9,011, daily deaths: +130, population: 9,643,236, daily cases ratio: 934.4373610684214, daily deaths ratio: 13.48095182986292
4: Jordan, daily cases: +7,705, daily deaths: +55, population: 10,273,423, daily cases ratio: 749.9934539831563, daily deaths ratio: 5.353619723435899
5: Serbia, daily cases: +4,668, daily deaths: +26, population: 8,712,801, daily cases ratio: 535.7634129368959, daily deaths ratio: 2.984114982082111
6: Poland, daily cases: +18,789, daily deaths: +352, population: 37,817,707, daily cases ratio: 496.830757084241, daily deaths ratio: 9.30780916992138
7: Bulgaria, daily cases: +3,159, daily deaths: +102, population: 6,911,877, daily cases ratio: 457.03938307929957, daily deaths ratio: 14.757207050993529
8: Italy, daily cases: +26,824, daily deaths: +380, population: 60,399,822, daily cases ratio: 444.1072690578459, daily deaths ratio: 6.291409269384934
9: Moldova, daily cases: +1,785, daily deaths: +38, population: 4,027,422, daily cases ratio: 443.2115631289693, daily deaths ratio: 9.435316189860412
10: Lebanon, daily cases: +2,930, daily deaths: +48, population: 6,804,102, daily cases ratio: 430.6225861987372, daily deaths ratio: 7.054567965030507
11: Bahrain, daily cases: +744, daily deaths: +2, population: 1,742,099, daily cases ratio: 427.07102179612065, daily deaths ratio: 1.1480403811723674
12: Slovakia, daily cases: +2,301, daily deaths: +102, population: 5,461,485, daily cases ratio: 421.3139832847659, daily deaths ratio: 18.676239154735388
13: North Macedonia, daily cases: +868, daily deaths: +15, population: 2,083,314, daily cases ratio: 416.64386645508074, daily deaths ratio: 7.200066816620058
14: Brazil, daily cases: +84,047, daily deaths: +2,152, population: 213,609,288, daily cases ratio: 393.46135548188334, daily deaths ratio: 10.074468297464668
15: Uruguay, daily cases: +1,357, daily deaths: +6, population: 3,482,108, daily cases ratio: 389.70646516420516, daily deaths ratio: 1.7230941716914008
16: France, daily cases: +25,229, daily deaths: +254, population: 65,374,087, daily cases ratio: 385.91743545114446, daily deaths ratio: 3.885331507574248
17: Palestine, daily cases: +1,983, daily deaths: +17, population: 5,183,161, daily cases ratio: 382.58506729773586, daily deaths ratio: 3.279851812436465
18: Slovenia, daily cases: +770, daily deaths: +8, population: 2,079,137, daily cases ratio: 370.3459656578667, daily deaths ratio: 3.847750292549265
19: Bosnia and Herzegovina, daily cases: +1,170, daily deaths: +36, population: 3,266,560, daily cases ratio: 358.17496081504703, daily deaths ratio: 11.02076802507837
20: Netherlands, daily cases: +6,026, daily deaths: +26, population: 17,161,273, daily cases ratio: 351.1394521839959, daily deaths ratio: 1.515039123263175
21: Austria, daily cases: +3,126, daily deaths: +33, population: 9,042,127, daily cases ratio: 345.71511769299417, daily deaths ratio: 3.6495837760296888
22: Latvia, daily cases: +632, daily deaths: +9, population: 1,871,599, daily cases ratio: 337.67917166016866, daily deaths ratio: 4.808722381236579
23: Cyprus, daily cases: +383, daily deaths: +2, population: 1,213,465, daily cases ratio: 315.6250901344497, daily deaths ratio: 1.6481727944357687
24: Kuwait, daily cases: +1,356, daily deaths: +8, population: 4,314,295, daily cases ratio: 314.30395927955783, daily deaths ratio: 1.8543006447171555
25: Chile, daily cases: +5,973, daily deaths: +89, population: 19,230,141, daily cases ratio: 310.6061468816063, daily deaths ratio: 4.628151192443155
26: Belgium, daily cases: +3,503, daily deaths: +23, population: 11,624,713, daily cases ratio: 301.34077288617794, daily deaths ratio: 1.9785434702775029
27: Ukraine, daily cases: +12,946, daily deaths: +230, population: 43,550,185, daily cases ratio: 297.26624582651027, daily deaths ratio: 5.281263443542203
28: Armenia, daily cases: +818, daily deaths: +4, population: 2,967,100, daily cases ratio: 275.690067742914, daily deaths ratio: 1.348117690674396
29: Romania, daily cases: +5,010, daily deaths: +108, population: 19,148,003, daily cases ratio: 261.6460839284389, daily deaths ratio: 5.640274863128024
30: Paraguay, daily cases: +1,766, daily deaths: +25, population: 7,193,267, daily cases ratio: 245.50736125879936, daily deaths ratio: 3.4754722715005575
31: Peru, daily cases: +8,039, daily deaths: +180, population: 33,289,963, daily cases ratio: 241.4841975042147, daily deaths ratio: 5.407035147500765
32: Albania, daily cases: +681, daily deaths: +16, population: 2,875,606, daily cases ratio: 236.81964775424728, daily deaths ratio: 5.564044587471302
33: Greece, daily cases: +2,357, daily deaths: +49, population: 10,387,498, daily cases ratio: 226.90738424209565, daily deaths ratio: 4.717209091159392
34: UAE, daily cases: +2,250, daily deaths: +9, population: 9,973,240, daily cases ratio: 225.6037155427925, daily deaths ratio: 0.9024148621711701
35: Israel, daily cases: +1,948, daily deaths: +13, population: 9,197,590 , daily cases ratio: 211.79461141451182, daily deaths ratio: 1.4134137312056745
36: Croatia, daily cases: +823, daily deaths: +12, population: 4,087,578, daily cases ratio: 201.34172363194048, daily deaths ratio: 2.935723795362437
37: USA, daily cases: +66,785, daily deaths: +1,505, population: 332,352,077, daily cases ratio: 200.9465401956853, daily deaths ratio: 4.5283303585312025
38: Turkey, daily cases: +14,941, daily deaths: +66, population: 84,968,579, daily cases ratio: 175.84147193988028, daily deaths ratio: 0.7767577235815606
39: Argentina, daily cases: +7,849, daily deaths: +85, population: 45,483,666, daily cases ratio: 172.56744432166042, daily deaths ratio: 1.868802747782028
40: Norway, daily cases: +905, daily deaths: None, population: 5,450,686, daily cases ratio: 166.03414689453768, daily deaths ratio: 0
41: Qatar, daily cases: +455, daily deaths: +1, population: 2,807,805 , daily cases ratio: 162.04829039053638, daily deaths ratio: 0.35615008877040966
42: Gabon, daily cases: +347, daily deaths: +3, population: 2,261,930, daily cases ratio: 153.4088145963845, daily deaths ratio: 1.3263009907468402
43: Switzerland, daily cases: +1,333, daily deaths: +14, population: 8,698,595, daily cases ratio: 153.24313869078858, daily deaths ratio: 1.6094553200833008
44: Germany, daily cases: +12,786, daily deaths: +230, population: 83,970,413, daily cases ratio: 152.26791846313773, daily deaths ratio: 2.7390600067669073
45: Jamaica, daily cases: +419, daily deaths: +5, population: 2,970,159, daily cases ratio: 141.06988885106824, daily deaths ratio: 1.6834115614685947
46: Libya, daily cases: +972, daily deaths: +8, population: 6,936,016, daily cases ratio: 140.1380850332525, daily deaths ratio: 1.1533998768168932
47: Lithuania, daily cases: +364, daily deaths: +10, population: 2,695,669, daily cases ratio: 135.0314152071341, daily deaths ratio: 3.709654263932256
48: Ireland, daily cases: +641, daily deaths: +9, population: 4,976,038, daily cases ratio: 128.81734424053835, daily deaths ratio: 1.8086678598515527
49: Finland, daily cases: +706, daily deaths: +3, population: 5,546,715, daily cases ratio: 127.28254471340244, daily deaths ratio: 0.5408606715866959
50: Belarus, daily cases: +1,186, daily deaths: +8, population: 9,447,156, daily cases ratio: 125.54042719311505, daily deaths ratio: 0.8468156977613157
51: Spain, daily cases: +5,348, daily deaths: +173, population: 46,767,398, daily cases ratio: 114.35316542519642, daily deaths ratio: 3.6991581186535116
52: Iraq, daily cases: +4,622, daily deaths: +25, population: 40,844,935, daily cases ratio: 113.15968552771598, daily deaths ratio: 0.6120709948491778
53: Denmark, daily cases: +645, daily deaths: +3, population: 5,806,397, daily cases ratio: 111.08437814362331, daily deaths ratio: 0.5166715262494108
54: Panama, daily cases: +451, daily deaths: +9, population: 4,361,767, daily cases ratio: 103.39846213701925, daily deaths ratio: 2.063383945084641
55: Honduras, daily cases: +985, daily deaths: +10, population: 10,013,604, daily cases ratio: 98.36618264512957, daily deaths ratio: 0.9986414481739042
56: UK, daily cases: +6,609, daily deaths: +175, population: 68,134,001, daily cases ratio: 97.00002793025467, daily deaths ratio: 2.5684679812066227
57: Iran, daily cases: +8,088, daily deaths: +53, population: 84,737,946, daily cases ratio: 95.44720378282476, daily deaths ratio: 0.6254576904660871
58: Canada, daily cases: +3,476, daily deaths: +33, population: 37,971,911, daily cases ratio: 91.54135013115354, daily deaths ratio: 0.869063450612217
59: Georgia, daily cases: +332, daily deaths: +12, population: 3,983,826, daily cases ratio: 83.33697305052982, daily deaths ratio: 3.0121797488143307
60: Colombia, daily cases: +4,078, daily deaths: +92, population: 51,259,107, daily cases ratio: 79.55659469448034, daily deaths ratio: 1.7948030191005864
61: Costa Rica, daily cases: +376, daily deaths: +3, population: 5,126,410, daily cases ratio: 73.34567465341243, daily deaths ratio: 0.5852048509580778
62: Ecuador, daily cases: +1,259, daily deaths: +65, population: 17,828,490, daily cases ratio: 70.61730971046903, daily deaths ratio: 3.6458499850520147
